shortId,platform,platformAccount,platformSection
aplive,MKTPlatformWebsite,0,MKTPlatformSectionWebsiteGrace
m00001,MKTPlatformEmail,0,0
m00002,MKTPlatformTelegram,0,0
m00003,MKTPlatformQuora,0,0
m00004,MKTPlatformLinkedIn,MKTPlatformAccountLinkedInAPProfile,MKTPlatformSectionLinkedInPage
m00005,MKTPlatformLinkedIn,MKTPlatformAccountLinkedInPAFPage,MKTPlatformSectionLinkedInPage
m00006,MKTPlatformGoogleAds,0,0
m00007,MKTPlatformFacebook,MKTPlatformAccountFBMainHindi,MKTPlatformSectionFBPage
m00009,MKTPlatformFacebook,MKTPlatformAccountFBMainHindi,MKTPlatformSectionFBStories
m00010,MKTPlatformFacebook,MKTPlatformAccountFBMainEnglish,MKTPlatformSectionFBPage
m00012,MKTPlatformFacebook,MKTPlatformAccountFBMainEnglish,MKTPlatformSectionFBStories
m00013,MKTPlatformWhatsapp,MKTPlatformAccountWhatsAppOutreach,MKTPlatformSectionWhatsappBroadcast
m00014,MKTPlatformWhatsapp,MKTPlatformAccountWhatsAppOutreach,MKTPlatformSectionWhatsappStories
m00015,MKTPlatformWhatsapp,MKTPlatformAccountWhatsAppRP,MKTPlatformSectionWhatsappBroadcast
m00016,MKTPlatformWhatsapp,MKTPlatformAccountWhatsAppRP,MKTPlatformSectionWhatsappStories
m00017,MKTPlatformInstagram,MKTPlatformAccountInstaMainHindi,MKTPlatformSectionInstaStories
m00018,MKTPlatformInstagram,MKTPlatformAccountInstaMainHindi,MKTPlatformSectionInstaProfileLink
m00019,MKTPlatformInstagram,MKTPlatformAccountInstaMainEnglish,MKTPlatformSectionInstaStories
m00020,MKTPlatformInstagram,MKTPlatformAccountInstaMainEnglish,MKTPlatformSectionInstaProfileLink
m00021,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTDescription
m00022,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTPinnedComment
m00023,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTCard
m00024,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTEndSlide
m00025,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTCommunity
m00026,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTDescription
m00027,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTPinnedComment
m00028,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTCard
m00029,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTEndSlide
m00030,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTCommunity
m00031,MKTPlatformYoutube,MKTPlatformAccountYTSadho,MKTPlatformSectionYTDescription
m00032,MKTPlatformYoutube,MKTPlatformAccountYTSadho,MKTPlatformSectionYTPinnedComment
m00033,MKTPlatformYoutube,MKTPlatformAccountYTSadho,MKTPlatformSectionYTCard
m00034,MKTPlatformYoutube,MKTPlatformAccountYTSadho,MKTPlatformSectionYTEndSlide
m00035,MKTPlatformYoutube,MKTPlatformAccountYTSadho,MKTPlatformSectionYTCommunity
m00036,MKTPlatformYoutube,MKTPlatformAccountYTShastraGyan,MKTPlatformSectionYTDescription
m00037,MKTPlatformYoutube,MKTPlatformAccountYTShastraGyan,MKTPlatformSectionYTPinnedComment
m00038,MKTPlatformYoutube,MKTPlatformAccountYTShastraGyan,MKTPlatformSectionYTCard
m00039,MKTPlatformYoutube,MKTPlatformAccountYTShastraGyan,MKTPlatformSectionYTEndSlide
m00040,MKTPlatformYoutube,MKTPlatformAccountYTShastraGyan,MKTPlatformSectionYTCommunity
m00041,MKTPlatformYoutube,MKTPlatformAccountYTYuvaMitra,MKTPlatformSectionYTDescription
m00042,MKTPlatformYoutube,MKTPlatformAccountYTYuvaMitra,MKTPlatformSectionYTPinnedComment
m00043,MKTPlatformYoutube,MKTPlatformAccountYTYuvaMitra,MKTPlatformSectionYTCard
m00044,MKTPlatformYoutube,MKTPlatformAccountYTYuvaMitra,MKTPlatformSectionYTEndSlide
m00045,MKTPlatformYoutube,MKTPlatformAccountYTYuvaMitra,MKTPlatformSectionYTCommunity
m00046,MKTPlatformYoutube,MKTPlatformAccountYTFreshBlades,MKTPlatformSectionYTDescription
m00047,MKTPlatformYoutube,MKTPlatformAccountYTFreshBlades,MKTPlatformSectionYTPinnedComment
m00048,MKTPlatformYoutube,MKTPlatformAccountYTFreshBlades,MKTPlatformSectionYTCard
m00049,MKTPlatformYoutube,MKTPlatformAccountYTFreshBlades,MKTPlatformSectionYTEndSlide
m00050,MKTPlatformYoutube,MKTPlatformAccountYTFreshBlades,MKTPlatformSectionYTCommunity
m00051,MKTPlatformYoutube,MKTPlatformAccountYTSaintsAndScriptures,MKTPlatformSectionYTDescription
m00052,MKTPlatformYoutube,MKTPlatformAccountYTSaintsAndScriptures,MKTPlatformSectionYTPinnedComment
m00053,MKTPlatformYoutube,MKTPlatformAccountYTSaintsAndScriptures,MKTPlatformSectionYTCard
m00054,MKTPlatformYoutube,MKTPlatformAccountYTSaintsAndScriptures,MKTPlatformSectionYTEndSlide
m00055,MKTPlatformYoutube,MKTPlatformAccountYTSaintsAndScriptures,MKTPlatformSectionYTCommunity
m00056,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTDescription
m00057,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTPinnedComment
m00058,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTCard
m00059,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTEndSlide
m00060,MKTPlatformYoutube,MKTPlatformAccountYTNotEvenOne,MKTPlatformSectionYTCommunity
m00061,MKTPlatformTwitter,MKTPlatformAccountTwitterHindi,MKTPlatformSectionTwitterFeed
m00062,MKTPlatformTwitter,MKTPlatformAccountTwitterEnglish,MKTPlatformSectionTwitterFeed
m00063,MKTPlatformApp,0,MKTPlatformSectionAppWisdomFeedH
m00064,MKTPlatformApp,0,MKTPlatformSectionAppWisdomFeedE
m00065,MKTPlatformKoo,MKTPlatformAccountKooHindi,0
m00066,MKTPlatformKoo,MKTPlatformAccountKooEnglish,0
m00067,MKTPlatformFacebookAds,0,0
m00068,MKTPlatformInstagram,MKTPlatformAccountInstaMainHindi,MKTPlatformSectionInstaBroadcast
m00069,MKTPlatformInstagram,MKTPlatformAccountInstaMainEnglish,MKTPlatformSectionInstaBroadcast
m00070,MKTPlatformWebsite,0,MKTPlatformSectionWebsiteArticles
m00071,MKTPlatformWebsite,0,MKTPlatformSectionWebsiteHome
m00072,MKTPlatformApp,0,MKTPlatformSectionAppGitaFeed
m00073,MKTPlatformYoutube,MKTPlatformAccountYTMainHindi,MKTPlatformSectionYTCommentReply
m00074,MKTPlatformYoutube,MKTPlatformAccountYTMainEnglish,MKTPlatformSectionYTCommentReply
m00075,MKTPlatformWhatsappChannel,0,0
